# Fuente: PVGIS v5.2 (Photovoltaic Geographical Information System) - Comision Europea, JRC
# Producto: TMY (Typical Meteorological Year), serie horaria (8760 h)
# Endpoint: https://re.jrc.ec.europa.eu/api/v5_2/tmy?lat=4.70&lon=-74.15&outputformat=csv
# Ubicacion: Bogota (Aeropuerto El Dorado, aprox.) - Lat 4.700 N, Lon -74.150, Elev 2547 m
# Nota: cada mes del TMY proviene de un anio real distinto (ver tabla "month,year" mas abajo).
# Descargado: 2026-07-23
# Zona horaria de time(UTC): UTC. Bogota = UTC-5 (sin horario de verano).
# Columnas clave: G(h)=GHI [W/m2], Gb(n)=DNI [W/m2], Gd(h)=DHI [W/m2], T2m=temp aire [C].
# Original de PVGIS sin modificar salvo este encabezado. Regenerar: ver docs/09-validacion.md.
#
Latitude (decimal degrees): 4.700
Longitude (decimal degrees): -74.150
Elevation (m): 2547.0
Irradiance Time Offset (h): 0.0
month,year
1,2010
2,2010
3,2015
4,2008
5,2006
6,2009
7,2013
8,2006
9,2012
10,2007
11,2014
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120914:1200,11.7,55.7,256.0,657.27,60.0,332.8,0.97,118.0,74686.0
20120914:1300,13.73,49.3,284.0,78.61,242.0,345.0,0.76,150.0,74686.0
20120914:1400,15.75,43.95,764.0,919.3,89.0,349.4,0.97,160.0,74657.0
20120914:1500,19.19,33.05,675.0,221.59,479.0,344.8,2.34,144.0,74547.0
20120914:1600,20.93,27.95,583.0,74.89,510.0,347.0,2.14,156.0,74429.0
20120914:1700,22.47,23.9,676.0,122.13,554.0,341.6,2.0,154.0,74305.0
20120914:1800,23.0,22.3,457.0,35.59,423.0,355.8,1.66,151.0,74210.0
20120914:1900,22.47,23.75,137.0,5.9,132.0,348.2,2.21,143.0,74188.0
20120914:2000,22.1,23.4,344.0,54.33,307.0,347.2,1.45,157.0,74166.0
20120914:2100,21.09,24.55,79.0,0.0,79.0,351.6,0.97,195.0,74188.0
20120914:2200,19.55,27.25,190.0,647.53,44.0,337.6,0.76,230.0,74224.0
20120914:2300,17.27,35.7,0.0,-0.0,0.0,343.0,0.69,257.0,74341.0
20120915:0000,15.63,44.1,0.0,-0.0,0.0,332.4,0.48,256.0,74495.0
20120915:0100,14.74,49.35,0.0,-0.0,0.0,339.05,0.28,216.0,74605.0
20120915:0200,14.18,51.55,0.0,-0.0,0.0,341.8,0.55,150.0,74693.0
20120915:0300,13.86,51.75,0.0,-0.0,0.0,355.4,0.69,137.0,74722.0
20120915:0400,13.55,52.5,0.0,-0.0,0.0,359.2,0.9,125.0,74766.0
20120915:0500,12.99,54.45,0.0,-0.0,0.0,345.0,0.83,132.0,74715.0
20120915:0600,12.52,56.25,0.0,-0.0,0.0,342.2,0.97,138.0,74686.0
20120915:0700,12.15,53.5,0.0,-0.0,0.0,370.6,0.97,129.0,74627.0
20120915:0800,12.19,53.3,0.0,-0.0,0.0,371.6,0.9,129.0,74613.0
20120915:0900,12.22,53.45,0.0,-0.0,0.0,370.4,0.76,130.0,74635.0
20120915:1000,12.09,54.25,0.0,-0.0,0.0,360.2,0.69,130.0,74591.0
20120915:1100,11.94,55.6,0.0,0.0,0.0,348.2,0.62,138.0,74657.0
20120915:1200,12.6,54.0,15.0,0.0,15.0,346.6,0.83,130.0,74722.0
20120915:1300,14.37,48.45,126.0,3.74,124.0,339.6,1.1,127.0,74774.0
20120915:1400,16.6,42.0,198.0,13.6,188.0,347.2,1.38,131.0,74781.0
20120915:1500,19.27,32.8,428.0,37.29,395.0,359.2,2.76,129.0,74730.0
20120915:1600,20.81,28.0,186.0,14.36,172.0,361.8,2.41,131.0,74591.0
20120915:1700,21.7,26.6,302.0,20.03,282.0,356.0,1.93,138.0,74429.0
20120915:1800,21.85,26.4,174.0,11.52,163.0,363.2,1.52,145.0,74305.0
20120915:1900,20.83,30.95,231.0,15.37,218.0,369.8,2.0,125.0,74239.0
20120915:2000,20.86,30.3,181.0,8.83,175.0,364.6,1.59,123.0,74188.0
20120915:2100,20.6,30.15,159.0,6.42,156.0,363.0,0.55,130.0,74188.0
20120915:2200,19.5,31.85,187.0,640.09,44.0,365.0,0.14,56.0,74239.0
20120915:2300,17.72,36.75,0.0,-0.0,0.0,353.2,0.48,304.0,74341.0
20120916:0000,16.25,43.65,0.0,-0.0,0.0,345.8,0.48,308.0,74459.0
20120916:0100,15.09,49.4,0.0,-0.0,0.0,325.85,0.34,9.0,74532.0
20120916:0200,14.18,53.7,0.0,-0.0,0.0,336.8,0.55,68.0,74605.0
20120916:0300,13.25,57.95,0.0,-0.0,0.0,326.0,0.69,98.0,74664.0
20120916:0400,12.59,59.75,0.0,-0.0,0.0,352.6,0.9,105.0,74679.0
20120916:0500,11.99,62.4,0.0,-0.0,0.0,339.2,0.97,107.0,74642.0
20120916:0600,11.62,64.0,0.0,-0.0,0.0,348.0,0.97,105.0,74627.0
20120916:0700,11.54,60.15,0.0,-0.0,0.0,362.0,1.17,116.0,74583.0
20120916:0800,11.13,62.45,0.0,-0.0,0.0,353.2,1.31,110.0,74576.0
20120916:0900,11.06,63.05,0.0,-0.0,0.0,364.0,1.31,113.0,74613.0
20120916:1000,10.72,64.25,0.0,-0.0,0.0,362.0,1.38,112.0,74649.0
20120916:1100,10.66,64.35,19.0,135.49,13.0,361.0,1.45,108.0,74671.0
20120916:1200,11.29,61.8,142.0,76.56,119.0,350.2,1.38,108.0,74708.0
20120916:1300,13.77,51.55,217.0,26.11,203.0,346.4,1.17,117.0,74693.0
20120916:1400,16.53,41.8,431.0,88.33,366.0,348.6,1.03,135.0,74657.0
20120916:1500,18.39,33.65,125.0,5.65,120.0,355.8,1.93,132.0,74569.0
20120916:1600,20.33,25.9,655.0,120.0,538.0,361.8,1.93,133.0,74415.0
20120916:1700,22.43,20.3,622.0,86.15,536.0,344.4,1.93,136.0,74334.0
20120916:1800,22.96,18.3,461.0,36.69,426.0,363.8,1.38,145.0,74268.0
20120916:1900,21.79,21.3,630.0,214.32,449.0,357.2,1.03,137.0,74180.0
20120916:2000,21.44,21.05,493.0,233.05,335.0,351.6,0.41,214.0,74180.0
20120916:2100,20.64,22.3,259.0,107.44,209.0,351.2,0.62,289.0,74232.0
20120916:2200,18.67,30.4,162.0,447.3,63.0,339.6,1.31,314.0,74217.0
20120916:2300,16.52,41.45,0.0,-0.0,0.0,316.6,1.17,333.0,74327.0
20120917:0000,15.34,48.15,0.0,-0.0,0.0,313.8,0.62,350.0,74415.0
20120917:0100,14.42,59.55,0.0,-0.0,0.0,319.65,0.41,68.0,74503.0
20120917:0200,13.5,57.05,0.0,-0.0,0.0,318.6,0.76,90.0,74605.0
20120917:0300,12.82,59.65,0.0,-0.0,0.0,322.8,0.9,91.0,74664.0
20120917:0400,12.52,61.05,0.0,-0.0,0.0,334.8,0.9,96.0,74664.0
20120917:0500,12.2,62.5,0.0,-0.0,0.0,335.4,0.9,93.0,74642.0
20120917:0600,11.86,64.2,0.0,-0.0,0.0,332.8,0.9,91.0,74605.0
20120917:0700,11.23,58.45,0.0,-0.0,0.0,337.4,0.76,100.0,74591.0
20120917:0800,10.69,60.55,0.0,-0.0,0.0,343.4,0.97,101.0,74561.0
20120917:0900,10.3,62.5,0.0,-0.0,0.0,337.2,1.17,106.0,74561.0
20120917:1000,10.0,64.15,0.0,-0.0,0.0,338.4,1.24,105.0,74598.0
20120917:1100,10.38,63.4,3.0,0.0,3.0,349.2,1.1,111.0,74627.0
20120917:1200,11.78,58.4,81.0,0.0,81.0,357.2,0.9,122.0,74708.0
20120917:1300,13.69,47.15,232.0,33.5,214.0,357.4,0.9,154.0,74752.0
20120917:1400,15.71,40.35,421.0,80.1,362.0,349.6,0.69,186.0,74759.0
20120917:1500,17.48,35.95,491.0,59.83,438.0,343.0,0.62,198.0,74708.0
20120917:1600,19.64,30.95,735.0,193.84,546.0,343.4,0.55,152.0,74591.0
20120917:1700,21.42,26.15,803.0,250.51,553.0,361.6,0.48,120.0,74473.0
20120917:1800,22.08,24.45,309.0,19.94,290.0,353.6,0.55,292.0,74341.0
20120917:1900,20.0,31.7,520.0,98.42,437.0,363.0,0.62,214.0,74276.0
20120917:2000,19.06,34.95,353.0,62.1,311.0,363.6,0.83,264.0,74261.0
20120917:2100,18.23,38.35,236.0,73.35,202.0,354.8,0.83,291.0,74268.0
20120917:2200,17.07,43.0,167.0,510.85,55.0,357.2,1.03,317.0,74261.0
20120917:2300,15.67,49.25,0.0,-0.0,0.0,345.4,0.76,301.0,74356.0
20120918:0000,14.64,54.5,0.0,-0.0,0.0,333.2,0.48,321.0,74488.0
20120918:0100,14.07,58.45,0.0,-0.0,0.0,343.45,0.34,327.0,74605.0
20120918:0200,13.62,61.2,0.0,-0.0,0.0,347.8,0.34,1.0,74679.0
20120918:0300,13.11,64.4,0.0,-0.0,0.0,340.6,0.28,348.0,74737.0
20120918:0400,12.75,67.15,0.0,-0.0,0.0,343.4,0.28,238.0,74730.0
20120918:0500,11.84,74.5,0.0,-0.0,0.0,328.2,0.21,226.0,74737.0
20120918:0600,11.47,73.45,0.0,-0.0,0.0,355.2,0.0,184.0,74700.0
20120918:0700,11.53,75.55,0.0,-0.0,0.0,355.0,0.14,183.0,74657.0
20120918:0800,11.22,76.25,0.0,-0.0,0.0,343.8,0.41,122.0,74642.0
20120918:0900,11.31,74.95,0.0,-0.0,0.0,359.0,0.55,127.0,74664.0
20120918:1000,11.35,73.5,0.0,-0.0,0.0,360.0,0.41,128.0,74693.0
20120918:1100,11.09,74.4,3.0,0.0,3.0,343.0,0.34,83.0,74737.0
20120918:1200,11.97,70.45,6.0,0.0,6.0,355.8,0.28,80.0,74774.0
20120918:1300,13.44,62.4,353.0,180.24,256.0,351.6,0.07,78.0,74810.0
20120918:1400,15.4,52.5,338.0,35.27,312.0,357.4,0.0,161.0,74810.0
20120918:1500,17.47,43.25,317.0,21.44,298.0,361.2,0.55,175.0,74737.0
20120918:1600,17.8,41.05,469.0,34.87,435.0,369.2,0.41,231.0,74657.0
20120918:1700,17.98,41.45,192.0,21.05,171.0,374.8,0.62,287.0,74569.0
20120918:1800,18.73,40.3,781.0,275.16,519.0,357.4,0.62,295.0,74437.0
20120918:1900,19.66,35.25,458.0,60.56,407.0,363.2,0.55,241.0,74341.0
20120918:2000,19.15,36.45,285.0,28.16,266.0,368.4,0.69,282.0,74283.0
20120918:2100,18.59,38.75,441.0,803.72,70.0,360.6,0.69,298.0,74268.0
20120918:2200,17.19,45.95,179.0,626.3,43.0,358.4,1.03,307.0,74349.0
20120918:2300,15.39,59.15,0.0,-0.0,0.0,349.0,1.17,313.0,74444.0
20120919:0000,13.13,75.25,0.0,-0.0,0.0,356.2,0.76,323.0,74569.0
20120919:0100,11.62,93.05,0.0,-0.0,0.0,361.85,0.55,31.0,74649.0
20120919:0200,11.43,94.65,0.0,-0.0,0.0,352.4,0.83,69.0,74730.0
20120919:0300,11.23,94.75,0.0,-0.0,0.0,356.4,0.76,79.0,74759.0
20120919:0400,10.89,94.95,0.0,-0.0,0.0,354.0,0.76,80.0,74744.0
20120919:0500,10.51,96.0,0.0,-0.0,0.0,353.6,0.69,86.0,74708.0
20120919:0600,10.34,95.0,0.0,-0.0,0.0,349.4,0.62,78.0,74671.0
20120919:0700,11.06,80.25,0.0,-0.0,0.0,330.8,0.55,80.0,74642.0
20120919:0800,10.63,83.25,0.0,-0.0,0.0,329.0,0.62,84.0,74620.0
20120919:0900,10.57,82.35,0.0,-0.0,0.0,333.2,0.55,74.0,74635.0
20120919:1000,10.66,81.0,0.0,-0.0,0.0,342.4,0.62,63.0,74664.0
20120919:1100,10.7,79.25,16.0,0.0,16.0,340.8,0.69,69.0,74722.0
20120919:1200,11.52,73.75,140.0,0.0,140.0,340.0,0.76,98.0,74759.0
20120919:1300,13.38,61.2,258.0,0.0,258.0,338.8,0.69,120.0,74766.0
20120919:1400,15.86,48.2,764.0,0.0,764.0,335.8,0.48,147.0,74744.0
20120919:1500,18.17,40.3,944.0,0.0,944.0,350.0,0.14,177.0,74671.0
20120919:1600,19.97,35.5,1053.0,0.0,1053.0,351.8,0.07,347.0,74525.0
20120919:1700,20.89,33.4,574.0,0.0,574.0,359.6,0.62,305.0,74400.0
20120919:1800,21.29,33.85,431.0,0.0,431.0,360.0,1.1,291.0,74276.0
20120919:1900,19.38,45.1,635.0,0.0,635.0,359.4,1.52,288.0,74254.0
20120919:2000,16.66,56.85,690.0,0.0,690.0,355.4,1.1,318.0,74290.0
20120919:2100,15.7,62.2,443.0,0.0,443.0,365.8,0.97,145.0,74261.0
20120919:2200,15.46,61.25,171.0,0.0,171.0,366.2,0.48,97.0,74371.0
20120919:2300,14.95,63.6,0.0,-0.0,0.0,364.4,0.21,39.0,74407.0
20120920:0000,14.29,66.3,0.0,-0.0,0.0,355.4,0.62,96.0,74459.0
20120920:0100,14.03,68.1,0.0,-0.0,0.0,372.85,0.83,75.0,74488.0
20120920:0200,13.46,70.95,0.0,-0.0,0.0,346.0,0.76,74.0,74554.0
20120920:0300,12.82,74.25,0.0,-0.0,0.0,354.0,0.9,86.0,74569.0
20120920:0400,12.27,77.4,0.0,-0.0,0.0,345.2,0.83,92.0,74569.0
20120920:0500,11.57,80.4,0.0,-0.0,0.0,342.8,0.69,108.0,74576.0
20120920:0600,10.81,83.05,0.0,-0.0,0.0,356.0,0.62,104.0,74525.0
20120920:0700,10.66,83.85,0.0,-0.0,0.0,348.2,0.83,113.0,74510.0
20120920:0800,10.62,83.3,0.0,-0.0,0.0,351.2,0.97,123.0,74451.0
20120920:0900,10.75,81.65,0.0,-0.0,0.0,359.2,0.9,116.0,74495.0
20120920:1000,10.55,81.55,0.0,-0.0,0.0,353.4,1.1,108.0,74532.0
20120920:1100,10.81,80.25,8.0,0.0,8.0,365.8,1.45,102.0,74539.0
20120920:1200,11.82,76.95,143.0,0.0,143.0,347.6,1.38,98.0,74576.0
20120920:1300,14.42,62.25,528.0,0.0,528.0,341.4,0.76,101.0,74539.0
20120920:1400,16.4,51.5,426.0,0.0,426.0,339.0,0.14,175.0,74561.0
20120920:1500,18.05,43.25,622.0,0.0,622.0,343.2,0.28,184.0,74517.0
20120920:1600,18.61,40.25,802.0,0.0,802.0,361.4,0.69,186.0,74415.0
20120920:1700,20.37,35.85,579.0,0.0,579.0,357.0,1.03,232.0,74224.0
20120920:1800,20.23,37.05,535.0,0.0,535.0,372.0,0.83,260.0,74085.0
20120920:1900,20.63,36.5,891.0,0.0,891.0,362.6,0.97,273.0,74048.0
20120920:2000,18.06,49.05,690.0,0.0,690.0,360.8,0.97,311.0,74056.0
20120920:2100,17.56,48.65,245.0,0.0,245.0,349.8,0.83,272.0,74078.0
20120920:2200,16.61,53.15,5.0,0.0,5.0,341.6,0.97,232.0,74151.0
20120920:2300,15.68,57.65,0.0,-0.0,0.0,349.8,0.69,247.0,74232.0
20120921:0000,14.93,62.75,0.0,-0.0,0.0,347.8,0.48,266.0,74319.0
20120921:0100,14.02,69.7,0.0,-0.0,0.0,342.65,0.62,344.0,74407.0
20120921:0200,13.19,75.3,0.0,-0.0,0.0,340.4,0.62,49.0,74466.0
20120921:0300,12.77,77.95,0.0,-0.0,0.0,359.6,1.03,92.0,74510.0
20120921:0400,12.33,80.85,0.0,-0.0,0.0,348.4,0.83,101.0,74525.0
20120921:0500,12.0,84.0,0.0,-0.0,0.0,356.8,0.76,95.0,74495.0
20120921:0600,11.83,88.55,0.0,-0.0,0.0,371.2,0.69,97.0,74437.0
20120921:0700,11.93,85.6,0.0,-0.0,0.0,363.2,0.97,98.0,74400.0
20120921:0800,11.48,86.05,0.0,-0.0,0.0,347.0,1.03,97.0,74371.0
20120921:0900,11.21,85.7,0.0,-0.0,0.0,342.2,0.97,93.0,74407.0
20120921:1000,11.06,84.8,0.0,-0.0,0.0,346.8,0.97,98.0,74459.0
20120921:1100,10.78,84.4,22.0,0.0,22.0,337.2,0.97,93.0,74503.0
20120921:1200,11.52,80.9,264.0,0.0,264.0,346.6,0.83,96.0,74547.0
20120921:1300,13.56,68.5,533.0,0.0,533.0,340.6,0.62,117.0,74561.0
20120921:1400,15.99,54.7,770.0,0.0,770.0,352.0,0.48,172.0,74510.0
20120921:1500,17.93,44.3,403.0,0.0,403.0,341.4,0.76,159.0,74429.0
20120921:1600,19.64,39.45,779.0,0.0,779.0,350.8,0.76,215.0,74341.0
20120921:1700,20.21,38.55,337.0,0.0,337.0,371.2,0.76,233.0,74217.0
20120921:1800,20.34,38.3,737.0,0.0,737.0,372.0,1.03,254.0,74114.0
20120921:1900,20.42,38.9,316.0,0.0,316.0,380.2,0.9,262.0,74004.0
20120921:2000,19.43,42.05,348.0,0.0,348.0,364.4,0.69,280.0,73938.0
20120921:2100,18.68,45.05,7.0,0.0,7.0,365.4,0.41,286.0,73909.0
20120921:2200,17.77,48.0,23.0,0.0,23.0,354.0,0.41,306.0,74019.0
20120921:2300,15.69,58.85,0.0,-0.0,0.0,349.4,0.9,330.0,74158.0
20120922:0000,14.15,71.1,0.0,-0.0,0.0,359.8,0.76,345.0,74305.0
20120922:0100,13.47,77.1,0.0,-0.0,0.0,359.85,0.48,44.0,74393.0
20120922:0200,13.44,79.2,0.0,-0.0,0.0,381.0,0.55,72.0,74451.0
20120922:0300,13.39,79.4,0.0,-0.0,0.0,375.4,0.55,86.0,74488.0
20120922:0400,13.27,78.15,0.0,-0.0,0.0,363.2,0.62,87.0,74525.0
20120922:0500,13.05,78.15,0.0,-0.0,0.0,361.2,0.48,74.0,74510.0
20120922:0600,12.81,78.45,0.0,-0.0,0.0,363.0,0.62,87.0,74503.0
20120922:0700,12.34,78.9,0.0,-0.0,0.0,356.8,0.76,94.0,74473.0
20120922:0800,11.98,79.15,0.0,-0.0,0.0,357.8,0.62,107.0,74451.0
20120922:0900,11.84,78.6,0.0,-0.0,0.0,365.0,0.97,100.0,74473.0
20120922:1000,11.55,78.4,0.0,-0.0,0.0,355.0,1.03,97.0,74539.0
20120922:1100,11.12,79.1,9.0,0.0,9.0,341.6,1.03,99.0,74583.0
20120922:1200,12.06,74.7,262.0,0.0,262.0,349.8,0.76,102.0,74642.0
20120922:1300,14.05,62.85,528.0,0.0,528.0,356.0,0.41,145.0,74598.0
20120922:1400,15.8,52.6,176.0,0.0,176.0,344.4,0.62,184.0,74547.0
20120922:1500,17.91,40.75,237.0,0.0,237.0,347.4,1.03,144.0,74444.0
20120922:1600,20.22,32.3,122.0,0.0,122.0,354.6,1.59,122.0,74378.0
20120922:1700,21.59,27.3,201.0,0.0,201.0,358.2,1.59,138.0,74283.0
20120922:1800,22.1,25.25,804.0,0.0,804.0,363.4,0.76,183.0,74202.0
20120922:1900,20.6,30.8,407.0,0.0,407.0,373.8,1.24,130.0,74092.0
20120922:2000,20.77,29.6,214.0,0.0,214.0,351.6,0.62,109.0,74056.0
20120922:2100,19.64,31.7,434.0,0.0,434.0,356.2,0.69,337.0,74107.0
20120922:2200,17.49,41.95,172.0,0.0,172.0,367.2,1.38,316.0,74100.0
20120922:2300,15.19,57.85,0.0,-0.0,0.0,338.4,1.31,315.0,74261.0
20120923:0000,13.99,68.2,0.0,-0.0,0.0,336.0,0.76,323.0,74415.0
20120923:0100,13.34,72.0,0.0,-0.0,0.0,352.65,0.48,357.0,74510.0
20120923:0200,13.18,72.0,0.0,-0.0,0.0,355.8,0.34,110.0,74554.0
20120923:0300,12.9,72.3,0.0,-0.0,0.0,346.4,0.21,102.0,74620.0
20120923:0400,12.33,75.55,0.0,-0.0,0.0,353.8,0.21,48.0,74642.0
20120923:0500,12.21,75.75,0.0,-0.0,0.0,353.4,0.55,72.0,74627.0
20120923:0600,12.23,73.5,0.0,-0.0,0.0,354.2,0.83,90.0,74591.0
20120923:0700,12.31,73.0,0.0,-0.0,0.0,372.8,0.69,99.0,74554.0
20120923:0800,12.25,71.4,0.0,-0.0,0.0,369.4,0.76,93.0,74525.0
20120923:0900,12.11,70.65,0.0,-0.0,0.0,360.4,0.9,98.0,74532.0
20120923:1000,12.15,69.5,0.0,-0.0,0.0,372.2,0.97,79.0,74532.0
20120923:1100,11.93,70.3,23.0,0.0,23.0,361.6,0.83,95.0,74620.0
20120923:1200,12.17,68.6,160.0,0.0,160.0,367.0,0.76,114.0,74686.0
20120923:1300,13.6,61.3,380.0,0.0,380.0,362.0,0.69,119.0,74708.0
20120923:1400,14.97,54.3,347.0,0.0,347.0,354.4,0.55,156.0,74686.0
20120923:1500,16.64,45.85,370.0,0.0,370.0,348.6,0.9,141.0,74657.0
20120923:1600,17.95,39.65,726.0,0.0,726.0,359.6,0.62,137.0,74591.0
20120923:1700,18.85,35.85,732.0,0.0,732.0,369.8,0.21,293.0,74451.0
20120923:1800,19.82,35.75,140.0,0.0,140.0,362.0,1.45,300.0,74356.0
20120923:1900,18.88,40.45,306.0,0.0,306.0,364.0,0.34,269.0,74232.0
20120923:2000,18.52,41.0,452.0,0.0,452.0,378.0,0.83,301.0,74166.0
20120923:2100,17.87,44.3,316.0,0.0,316.0,355.0,0.83,284.0,74180.0
20120923:2200,16.43,51.6,124.0,0.0,124.0,350.6,0.97,290.0,74254.0
20120923:2300,15.1,59.8,0.0,-0.0,0.0,349.2,0.83,292.0,74385.0
20120924:0000,14.33,65.3,0.0,-0.0,0.0,358.4,0.55,304.0,74481.0
20120924:0100,13.88,67.85,0.0,-0.0,0.0,374.05,0.07,276.0,74554.0
20120924:0200,13.52,67.95,0.0,-0.0,0.0,376.8,0.34,85.0,74620.0
20120924:0300,13.29,69.0,0.0,-0.0,0.0,368.0,0.76,117.0,74642.0
20120924:0400,13.0,69.75,0.0,-0.0,0.0,359.4,0.48,140.0,74620.0
20120924:0500,12.21,73.6,0.0,-0.0,0.0,354.8,0.14,225.0,74583.0
20120924:0600,11.87,75.05,0.0,-0.0,0.0,359.6,0.34,137.0,74532.0
20120924:0700,12.12,72.65,0.0,-0.0,0.0,362.8,0.28,126.0,74503.0
20120924:0800,11.94,72.95,0.0,-0.0,0.0,362.0,0.69,109.0,74466.0
20120924:0900,12.01,71.85,0.0,-0.0,0.0,369.4,0.69,126.0,74466.0
20120924:1000,12.03,71.1,0.0,-0.0,0.0,372.8,0.48,144.0,74466.0
20120924:1100,11.75,72.25,24.0,0.0,24.0,359.0,0.21,119.0,74525.0
20120924:1200,12.07,70.75,264.0,0.0,264.0,373.0,0.34,153.0,74591.0
20120924:1300,13.11,65.5,530.0,0.0,530.0,365.8,0.48,136.0,74598.0
20120924:1400,14.0,65.95,765.0,0.0,765.0,353.8,0.07,235.0,74561.0
20120924:1500,14.78,62.95,746.0,0.0,746.0,370.6,0.28,243.0,74495.0
20120924:1600,16.35,55.95,764.0,0.0,764.0,361.8,0.55,199.0,74363.0
20120924:1700,17.29,50.15,681.0,0.0,681.0,363.6,0.62,212.0,74283.0
20120924:1800,17.91,46.9,791.0,0.0,791.0,366.4,0.69,248.0,74202.0
20120924:1900,18.38,45.35,83.0,0.0,83.0,379.8,0.55,281.0,74100.0
20120924:2000,18.07,47.65,64.0,0.0,64.0,354.8,0.9,298.0,74114.0
20120924:2100,16.43,55.3,6.0,0.0,6.0,353.8,1.03,300.0,74188.0
20120924:2200,14.03,73.4,2.0,0.0,2.0,369.2,0.41,311.0,74297.0
20120924:2300,12.66,84.4,0.0,-0.0,0.0,364.8,0.14,137.0,74371.0
20120925:0000,12.11,91.65,0.0,-0.0,0.0,369.4,0.69,83.0,74444.0
20120925:0100,11.78,98.85,0.0,-0.0,0.0,367.85,0.83,98.0,74517.0
20120925:0200,11.73,99.2,0.0,-0.0,0.0,369.4,0.76,103.0,74569.0
20120925:0300,11.71,99.3,0.0,-0.0,0.0,370.2,0.69,103.0,74642.0
20120925:0400,11.46,99.15,0.0,-0.0,0.0,362.2,0.48,94.0,74627.0
20120925:0500,11.04,98.9,0.0,-0.0,0.0,356.8,0.41,100.0,74635.0
20120925:0600,10.71,98.5,0.0,-0.0,0.0,366.8,0.55,131.0,74583.0
20120925:0700,10.53,99.45,0.0,-0.0,0.0,359.8,0.9,100.0,74517.0
20120925:0800,10.44,99.8,0.0,-0.0,0.0,363.2,0.83,95.0,74495.0
20120925:0900,10.27,99.7,0.0,-0.0,0.0,359.4,0.9,99.0,74510.0
20120925:1000,10.17,99.8,0.0,-0.0,0.0,363.4,0.9,102.0,74539.0
20120925:1100,9.94,99.55,24.0,0.0,24.0,356.4,1.03,103.0,74561.0
20120925:1200,10.37,99.25,265.0,0.0,265.0,362.0,1.03,103.0,74664.0
20120925:1300,11.44,91.65,291.0,0.0,291.0,361.8,1.03,104.0,74715.0
20120925:1400,12.66,81.25,431.0,0.0,431.0,361.8,0.9,108.0,74744.0
20120925:1500,14.07,68.15,545.0,0.0,545.0,376.8,0.76,123.0,74700.0
20120925:1600,15.13,60.75,318.0,0.0,318.0,367.4,1.1,133.0,74627.0
20120925:1700,16.86,50.8,596.0,0.0,596.0,361.0,1.59,140.0,74495.0
20120925:1800,17.14,48.15,254.0,0.0,254.0,369.4,1.17,143.0,74393.0
20120925:1900,17.42,52.95,485.0,0.0,485.0,366.8,0.69,236.0,74276.0
20120925:2000,16.61,57.3,399.0,0.0,399.0,363.4,0.48,309.0,74217.0
20120925:2100,16.26,58.05,428.0,0.0,428.0,366.4,0.83,332.0,74173.0
20120925:2200,15.14,63.35,112.0,0.0,112.0,345.0,0.83,298.0,74246.0
20120925:2300,13.36,75.25,0.0,-0.0,0.0,337.2,0.76,344.0,74363.0
20120926:0000,12.32,82.85,0.0,-0.0,0.0,347.2,0.21,52.0,74473.0
20120926:0100,11.41,96.1,0.0,-0.0,0.0,353.25,0.55,132.0,74547.0
20120926:0200,10.62,96.1,0.0,-0.0,0.0,345.0,0.83,118.0,74635.0
20120926:0300,10.69,96.15,0.0,-0.0,0.0,357.6,0.76,104.0,74671.0
20120926:0400,10.42,97.3,0.0,-0.0,0.0,345.4,0.76,98.0,74657.0
20120926:0500,10.6,96.55,0.0,-0.0,0.0,362.8,0.83,96.0,74664.0
20120926:0600,10.57,96.05,0.0,-0.0,0.0,358.4,0.83,92.0,74635.0
20120926:0700,11.49,78.25,0.0,-0.0,0.0,363.8,0.9,103.0,74598.0
20120926:0800,11.44,76.6,0.0,-0.0,0.0,365.4,0.76,100.0,74569.0
20120926:0900,11.2,76.55,0.0,-0.0,0.0,348.4,0.83,98.0,74583.0
20120926:1000,11.09,76.7,0.0,-0.0,0.0,351.0,0.76,95.0,74598.0
20120926:1100,11.13,76.55,25.0,0.0,25.0,359.2,0.76,90.0,74620.0
20120926:1200,11.54,73.4,268.0,0.0,268.0,356.8,0.9,105.0,74686.0
20120926:1300,13.11,64.7,535.0,0.0,535.0,345.0,0.83,120.0,74693.0
20120926:1400,14.92,56.6,341.0,0.0,341.0,345.6,0.62,147.0,74657.0
20120926:1500,16.63,48.45,712.0,0.0,712.0,353.4,0.97,135.0,74649.0
20120926:1600,18.8,40.75,635.0,0.0,635.0,368.4,0.9,136.0,74539.0
20120926:1700,20.04,36.35,220.0,0.0,220.0,362.4,0.41,123.0,74407.0
20120926:1800,20.18,35.85,457.0,0.0,457.0,366.2,0.62,301.0,74297.0
20120926:1900,19.74,38.05,875.0,0.0,875.0,368.0,0.48,198.0,74180.0
20120926:2000,19.32,39.7,673.0,0.0,673.0,373.8,0.97,301.0,74136.0
20120926:2100,18.25,46.65,322.0,0.0,322.0,358.4,1.52,315.0,74173.0
20120926:2200,16.84,55.15,163.0,0.0,163.0,344.8,1.1,329.0,74202.0
20120926:2300,15.52,63.05,0.0,-0.0,0.0,345.8,0.76,353.0,74305.0
20120927:0000,14.27,69.75,0.0,-0.0,0.0,339.6,0.28,352.0,74429.0
